Year,Month,Provinces,Region,Occupancy rate,Number of guests (people),Total number of visitors (people),Number of Thai visitors (people),Number of foreign visitors (people),Income from visitors (million baht),Income from Thai visitors (million baht),Income from foreign visitors (million baht)
2019,11,Phangnga,Southern,68.84,110385,460596,156270,304326,4916.8,567.52,4349.28
2019,11,Phatthalung,Southern,56,63971,198123,197229,894,360.7,358.32,2.38
2019,11,Phuket,Southern,76.12,963468,1106035,302965,803070,39797.79,3575.38,36222.41
2019,11,Ranong,Southern,57.05,64724,75549,71810,3739,290.82,271.34,19.48
2019,11,Satun,Southern,63.91,71919,118420,102754,15666,595.18,495.11,100.07
2019,11,Songkhla,Southern,69.84,455924,578232,317401,260831,5094.72,2234.52,2860.2
2019,11,Surat Thani,Southern,49.34,321592,378375,163608,214767,6103.79,1212.94,4890.85
2019,11,Trang,Southern,64.49,93115,142995,123754,19241,736.84,558.55,178.29
2019,11,Yala,Southern,40.45,51323,58474,12062,46412,281.81,39.43,242.38
2019,12,Chumphon,Southern,54.86,90924,112928,104724,8204,616.33,551.89,64.44
2019,12,Krabi,Southern,86.77,487292,777417,246006,531411,14405.14,4228.61,10176.53
2019,12,Nakhon Si Thammarat,Southern,56.73,192991,280275,272212,8063,1216.29,1171.54,44.75
2019,12,Narathiwat,Southern,50.52,48920,52957,20043,32914,207.25,69.74,137.51
2019,12,Pattani,Southern,50.54,19236,23980,23688,292,79.96,78.58,1.38
2019,12,Phangnga,Southern,72.52,110949,454240,115271,338969,5262.98,418.61,4844.37
2019,12,Phatthalung,Southern,62.88,58461,180987,180064,923,329.6,327.15,2.45
2019,12,Phuket,Southern,82.68,1406031,1619537,511851,1107686,56002.56,6040.51,49962.05
2019,12,Ranong,Southern,60.29,64372,75000,71934,3066,287.78,271.81,15.97
2019,12,Satun,Southern,65.18,74817,123245,106434,16811,620.22,512.83,107.39
2019,12,Songkhla,Southern,66.4,460147,583218,318983,264235,5143.21,2245.67,2897.54
2019,12,Surat Thani,Southern,71.46,459926,527901,179626,348275,9262.9,1331.72,7931.18
2019,12,Trang,Southern,67.15,85793,130411,107799,22612,696.05,486.53,209.52
2019,12,Yala,Southern,44.38,46519,52901,14943,37958,247.09,48.87,198.22
2019,1,Chachoengsao,Eastern,59.4,38687,270438,266707,3731,292.96,288.18,4.78
2019,1,Chanthaburi,Eastern,68.86,118776,257105,250149,6956,844.48,795.71,48.77
2019,1,Chonburi,Eastern,84.33,1343262,1570327,632916,937411,27896.45,3967.44,23929.01
2019,1,Nakhon Nayok,Eastern,68.39,140711,278705,276249,2456,842.49,836.2,6.29
2019,1,Prachin Buri,Eastern,68.57,106063,183846,170721,13125,521.29,479.4,41.89
2019,1,Rayong,Eastern,70.11,377300,650811,581623,69188,2435.41,1980.42,454.99
2019,1,Sa Kaeo,Eastern,56.69,69400,199751,165131,34620,581.6,483.69,97.91
2019,1,Trat,Eastern,80.48,205330,224218,142674,81544,2073.22,900.15,1173.07
2019,2,Chachoengsao,Eastern,65.02,36670,256405,252608,3797,277.81,272.95,4.86
2019,2,Chanthaburi,Eastern,65.38,101232,219047,212941,6106,720.17,677.35,42.82
2019,2,Chonburi,Eastern,87.85,1271425,1511239,686630,824609,25353.71,4304.15,21049.56
2019,2,Nakhon Nayok,Eastern,61.42,126643,251091,248393,2698,758.79,751.88,6.91
2019,2,Prachin Buri,Eastern,64.61,91717,159020,147822,11198,450.84,415.1,35.74
2019,2,Rayong,Eastern,73.23,377905,651157,585709,65448,2424.73,1994.33,430.4
2019,2,Sa Kaeo,Eastern,61.7,71344,201364,172438,28926,586.9,505.09,81.81
2019,2,Trat,Eastern,82.58,198785,217190,142010,75180,1977.49,895.96,1081.53
2019,3,Chachoengsao,Eastern,60.15,38242,267162,264115,3047,289.3,285.4,3.9
2019,3,Chanthaburi,Eastern,70.57,120696,261843,256045,5798,855.13,814.47,40.66
2019,3,Chonburi,Eastern,81.72,1310969,1560331,715337,844994,25984.46,4484.12,21500.34
2019,3,Nakhon Nayok,Eastern,62.09,137325,271686,269899,1787,821.54,816.97,4.57
2019,3,Prachin Buri,Eastern,65,92481,161188,153117,8071,455.72,429.97,25.75
2019,3,Rayong,Eastern,73.54,389729,670764,607490,63274,2484.6,2068.49,416.11
2019,3,Sa Kaeo,Eastern,56.51,73040,204831,177430,27401,597.23,519.72,77.51
2019,3,Trat,Eastern,78.72,203275,222080,144734,77346,2024.07,913.14,1110.93
2019,4,Chachoengsao,Eastern,60.57,43541,310140,308646,1494,491.16,487.72,3.44
2019,4,Chanthaburi,Eastern,63.8,159693,247957,236823,11134,978.89,901.76,77.13
2019,4,Chonburi,Eastern,87.72,1435954,1695445,740825,954620,27090.08,4621.25,22468.83
2019,4,Nakhon Nayok,Eastern,60.49,146607,248112,247138,974,665.33,662.37,2.96
2019,4,Prachin Buri,Eastern,58.27,99003,159781,149579,10202,505.79,445.85,59.94
2019,4,Rayong,Eastern,80.61,461325,764295,729111,35184,3113.67,2801.54,312.13
2019,4,Sa Kaeo,Eastern,62.12,68332,192707,179247,13460,592.3,555.6,36.7
2019,4,Trat,Eastern,73.96,188320,213856,177871,35985,1795.18,1247.86,547.32
2019,5,Chachoengsao,Eastern,61.2,45558,324862,323575,1287,514.28,511.31,2.97
2019,5,Chanthaburi,Eastern,61.53,153920,238905,229036,9869,940.48,872.11,68.37
2019,5,Chonburi,Eastern,82.16,1408665,1690412,817301,873111,25648.65,5098.31,20550.34
2019,5,Nakhon Nayok,Eastern,61.68,149872,253601,252674,927,680.03,677.21,2.82
2019,5,Prachin Buri,Eastern,50.37,99016,161113,153539,7574,502.15,457.65,44.5
2019,5,Rayong,Eastern,80.37,443647,735125,699836,35289,3002.13,2689.06,313.07
2019,5,Sa Kaeo,Eastern,59.5,64045,182432,164882,17550,558.92,511.07,47.85
2019,5,Trat,Eastern,70.52,181493,206074,170707,35367,1735.52,1197.6,537.92
