Year,Month,Country,Region,Sub_Region,Number of Tourists
2020,Jun,Ukraine,Europe,Central/Eastern Europe,0
2020,Jun,Russian Federation,Europe,Central/Eastern Europe,0
2020,Jun,Romania,Europe,Central/Eastern Europe,0
2020,Mar,China,Asia and the Pacific,North-East Asia,56852
2020,Mar,Macao (China),Asia and the Pacific,North-East Asia,97
2020,Mar,Korea (Republic of),Asia and the Pacific,North-East Asia,8451
2020,Mar,Japan,Asia and the Pacific,North-East Asia,26456
2020,Mar,Hong Kong (China),Asia and the Pacific,North-East Asia,10037
2020,Mar,Cambodia,Asia and the Pacific,South-East Asia,29476
2020,Mar,Indonesia,Asia and the Pacific,South-East Asia,11191
2020,Mar,Brunei,Asia and the Pacific,South-East Asia,126
2020,Mar,Sri Lanka,Asia and the Pacific,South Asia,1032
2020,Mar,Pakistan,Asia and the Pacific,South Asia,1733
2020,Mar,Nepal,Asia and the Pacific,South Asia,900
2020,Mar,Maldives,Asia and the Pacific,South Asia,535
2020,Mar,Iran,Asia and the Pacific,South Asia,169
2020,Mar,India,Asia and the Pacific,South Asia,15456
2020,Mar,Bhutan,Asia and the Pacific,South Asia,279
2020,Mar,Bangladesh,Asia and the Pacific,South Asia,1785
2020,Mar,Other in Oceania,Asia and the Pacific,Oceania,68
2020,Mar,New Zealand,Asia and the Pacific,Oceania,2360
2020,Mar,Australia,Asia and the Pacific,Oceania,19078
2020,Mar,Taiwan,Asia and the Pacific,North-East Asia,3588
2020,Mar,Mongolia,Asia and the Pacific,North-East Asia,695
2020,Mar,North Korea,Asia and the Pacific,North-East Asia,0
2020,Mar,Ireland,Europe,Northern Europe,2392
2020,Mar,Iceland,Europe,Northern Europe,167
2020,Mar,Finland,Europe,Northern Europe,9406
2020,Mar,Denmark,Europe,Northern Europe,8519
2020,Mar,Turkey,Europe,Southern/Medit. Europe,1906
2020,Mar,Spain,Europe,Southern/Medit. Europe,4348
2020,Mar,Slovenia,Europe,Southern/Medit. Europe,244
2020,Mar,Serbia,Europe,Southern/Medit. Europe,158
2020,Mar,Portugal,Europe,Southern/Medit. Europe,1172
2020,Mar,Italy,Europe,Southern/Medit. Europe,3666
2020,Mar,Israel,Europe,Southern/Medit. Europe,1897
2020,Mar,Greece,Europe,Southern/Medit. Europe,502
2020,Mar,Cyprus,Europe,Southern/Medit. Europe,94
2020,Mar,Croatia,Europe,Southern/Medit. Europe,163
2020,Mar,Uzbekistan,Europe,Central/Eastern Europe,984
2020,Mar,Ukraine,Europe,Central/Eastern Europe,2192
2020,Mar,Slovakia,Europe,Central/Eastern Europe,1072
2020,Mar,Russian Federation,Europe,Central/Eastern Europe,117355
2020,Mar,Romania,Europe,Central/Eastern Europe,1610
2020,Mar,Poland,Europe,Central/Eastern Europe,5617
2020,Mar,Lithuania,Europe,Central/Eastern Europe,1053
2020,Mar,Latvia,Europe,Central/Eastern Europe,540
2020,Mar,Kyrgyzstan,Europe,Central/Eastern Europe,149
2020,Mar,Kazakhstan,Europe,Central/Eastern Europe,6752
2020,Mar,Hungary,Europe,Central/Eastern Europe,1189
2020,Mar,Estonia,Europe,Central/Eastern Europe,957
2020,Mar,Czech Republic,Europe,Central/Eastern Europe,2030
2020,Mar,Bulgaria,Europe,Central/Eastern Europe,538
2020,Mar,Belarus,Europe,Central/Eastern Europe,345
2020,Mar,Other in Middle East,Middle East,NULL,30
2020,Mar,Yemen,Middle East,NULL,38
2020,Mar,U.A.E.,Middle East,NULL,8
